词语	极性
渊深	1
佳节	1
哀婉	2
嘉慰	1
坚确	1
简切	1
拍案叫绝	1
见爱	1
人心大快	1
健旺	1
老虎屁股摸不得	2
寥寂	0
交映	1
娇蓝	1
娇婉	1
米珠薪桂	2
牛气	1
节能	1
清高	1
津润	1
金瓯	1
竹篮子打水一场空	2
在理	1
崭齐	1
莞尔	0
哲人	1
真知	1
哗笑	0
正轨	1
知心	1
值价	1
至当	1
致贺	1
制胜	1
忠骨	1
珠玑	1
迷恋	3
庄静	1
壮行	1
卓识	1
姿色	1
相中	0
晋升	1
尊奉	1
近情	1
旌麾	0
精核	1
精密	1
精熟	1
精严	1
晶光	1
井然	1
儆醒	1
心仪已久	1
诤友	1
劲秀	1
救急	1
就义	1
据理	1
眷顾	1
梼昧	2
暗无天日	2
白衣苍狗	0
卑猥	2
憋拗	2
以德报怨	1
有心眼儿	1
令人敬畏	1
为人宽厚	1
文武双全	1
小巧玲珑	1
不成器	2
正大光明	1
不分青红皂白	2
不得劲	2
枝繁叶茂	1
有血气	1
不更事	2
因时制宜	1
学有专长	1
行云流水	1
知书识礼	1
直心眼儿	1
物阜民丰	1
嗜血成性	2
索然乏味	2
死脑筋	2
松垮	2
随风转舵	2
沉静	1
危机重重	2
无涵养	2
无实效	2
安全	1
不伦不类	2
不切实际	2
不痛不痒	2
不像话	2
不足取	2
残破不全	2
味道不好	2
死得其所	1
玄秘	0
岌岌可危	2
茕茕孑立，形影相吊	0
长篇累牍	2
阴凄	2
成事不足，败事有余	2
臭烘烘	2
望穿秋水	0
村气	2
循规蹈矩	2
显著	0
低卑	2
滴里嘟噜	2
动作迟顿	2
济困扶危	1
发人深省	1
风吹日晒	0
腐败堕落	2
高不成，低不就	2
象样	1
寡淡	2
乖谬	2
含含混混	2
豪侈	2
火冒三丈	0
义形于色	0
胡子拉茬	2
坏人当道	2
荒无人烟	0
灰茫茫	0
智慧型	1
质优	1
忠良	1
壮阔	1
仔仔细细	1
最佳	1
哀怨	2
逍遥自在	1
瑕不掩瑜	1
熠熠生辉	1
哀思	0
霁月光风	1
哀矜	0
抱恨终生	2
憋得慌	2
凄切	2
吃后悔药	2
兔死狐悲	2
戳脊梁骨	2
同病相怜	0
惨重	2
烦腻	2
忿忿	0
寡欢	0
喝叱	0
惶惧	0
急急巴巴	2
惨不忍睹	2
疚愧	0
抗议	2
拉不下脸	0
回肠九转	2
打掉牙往肚子里吞－有苦显不出来	2
闷沉沉	0
面有愠色	0
怒喝	0
抱屈衔冤	0
气忿忿	0
惶恐不安	0
杯弓蛇影	2
危惧	0
系念	1
急不可待	0
羞于	0
讶然	0
鄙弃	2
愧对	0
震悚	0
心灰意懒	2
嗔斥	0
爱宠	0
无计可施	0
片瓦无存	0
跪叩	0
七手八脚	2
敬奉	0
看得上眼	1
渴求	0
美滋滋	0
沿门托钵	2
飘飘欲仙	0
弹尽粮绝	2
舟中敌国	2
安如泰山	1
颂赞	1
改弦更张	1
喜幸	1
眼馋	0
小家子相	2
迁延时日	2
赞慕	0
见风使舵	2
骄奢淫逸	2
饱学	1
鞭辟近里	1
江河日下	2
经验不足	2
拘礼	2
开小差	2
割席断交	0
石沉大海	0
公子哥儿	2
扬玲打鼓	2
楚楚可怜	1
不整齐	2
车水马龙	1
耳报神	2
狂悖	2
出手不凡	1
春秋鼎盛	1
老赶	2
久战沙场	1
从权	2
离索	0
哩哩啦啦	2
大而全	1
心慕手追	1
低调	1
零七八碎	2
春秋笔法	1
鼎鼎大名	1
流里流气	2
乱了营	2
端端正正	1
落俗套	2
漫不经意	0
内幕	0
没出息	2
没礼貌	2
没心没肺	2
迷宫般	0
名义上	2
目光短浅	2
难人	2
一触即溃	2
纸醉金迷	2
摇摇欲坠	2
一干二净	1
拆烂污	2
官倒	2
优胜	1
信息丰富	1
难相处	2
闹闹哄哄	2
黑话	0
脾气爆躁	2
骗人	2
笃信	1
其貌不扬	0
气盛	0
强行	2
甘服	1
穷奢极侈	2
缺乏才智	2
绕脖子	2
认死理儿	2
弱不禁风	2
散乱	2
傻里瓜唧	2
高耸	1
尔雅	1
无根据	2
拿捏	0
喧杂	2
一脸横肉	2
风景如画	1
荷花	0
护航	0
凤毛麟角	1
斯斯文文	1
坦直	0
天真无邪	0
高纯	1
高深	1
高质量	1
功不可没	1
鼓舞人心	1
光灿灿	1
滚瓜烂熟	1
毫发不爽	1
好心肠	1
合口味	1
鹤发童颜	1
后生可畏	1
树叶茂盛	1
受看	1
守法	0
使用方便	1
实实惠惠	1
圣明	1
滑不唧溜	0
花絮	0
是非	0
神通广大	1
坚持不渝	1
深奥	1
少不了	0
见微知萌	1
讲礼貌	1
筋道	1
谨言慎行	1
精神十足	1
软心肠	1
入耳	1
柔中有刚	1
细瘦	0
绝了	1
群威群胆	1
开拓型	1
确切无疑	0
全知全能	1
清幽幽	1
快人快语	1
清朗	1
皮实	1
亲昵	1
悄然	0
浅易	0
轻松	1
天怒人怨	2
手下留情	0
有失偏颇	2
旗帜鲜明	1
心心相印	1
杂草丛生	2
忸怩作态	2
完好如新	1
朴拙	1
无所不能	1
捉襟见肘	2
有理由	1
毅然	1
心明眼亮	1
泼悍	2
无可厚非	1
稳扎稳打	1
艰苦	0
满腔热血	1
面善	1
明睿	1
目光远大	1
蔫不溜	2
喷喷香	1
哀丝豪竹	1
掩耳盗铃	2
江山如画	1
万里江河	1
安稳	1
狐疑	2
惨痛	2
郁结	2
济世安邦	1
文治武功	1
拒谏饰非	2
授人以柄	2
政出多门	2
屈节辱命	2
社稷为墟	0
豆剖瓜分	2
开国济民	1
潮呼呼	2
鄙俚	2
康乐	1
舒坦	1
欢愉	1
四平八稳	0
馨香	1
高高兴兴	1
欢欣鼓舞	1
乐滋滋	1
喜出望外	1
心花怒放	1
开怀	1
中意	1
正中下怀	1
热烈	1
过瘾	0
陶陶	1
酣畅	1
幽默	1
满面春风	1
喜形于色	1
旌旗蔽日	1
谪居	0
眉飞色舞	1
拍手称快	1
喜逐颜开	1
轻暖	1
深望	1
喜色	1
喜笑盈思	1
感同身受	1
孤儿盼到了亲人－喜出望外	0
新媳妇过门－大喜	0
火热	1
馨香祷祝	1
情绪低落	0
赘述	2
安康	1
甜爽	1
动心	0
辛劳	1
严守	1
珍禽	1
心疼	0
宠幸	0
祝寿	1
醉心	0
痴心	0
酷爱	0
兴趣	0
亲爱	0
土里土气	2
天使	1
欣慕	0
有智慧	1
柔媚	1
爱不忍释	1
舐犊情深	1
从心所欲	0
连根共树	1
形影相追	1
谧静	1
情不自禁	1
殷情	0
等不及	0
洛阳的牡丹－人人喜欢	0
责斥	0
甘心情愿	0
瞧得上眼	1
推尊	1
脉脉	1
沁人肺腑	1
不可或缺	1
不无道理	0
奇迹	1
崇尚	1
景慕	1
不朽	1
不懈怠	1
才略过人	1
思慕	0
伟人	1
莽莽苍苍	2
五体投地	1
虔敬	1
延年益寿	1
麻姑献寿	1
福寿齐天	1
一呼百应	1
尊长	0
伏帖	1
自重	1
拜会	1
宝眷	1
有条不紊	1
想开	0
闲适	0
和悦	1
扑朔迷离	0
冥顽不灵	2
于心无愧	1
神色不动	1
风平浪静	1
家喻户晓	1
眼巴巴	2
惦记	0
脏乎乎	2
昭彰	1
鲁女忧国	1
信用	0
自己人	0
放之四海而皆准	1
凿凿	0
傲然	1
高亢	1
不凡	1
尽瘁事国	1
出类拔萃	1
真挚	1
破家为国	1
豪情满怀	1
有始有终	1
光明磊落	1
机灵	1
见义勇为	1
鞠躬尽瘁	1
纯洁	1
大显身手	1
顶天立地	1
奋不顾身	1
刚强	1
忧国忘家	1
真诚	1
达观	1
踌躇满志	1
眉清目秀	1
雅趣	1
朝气蓬勃	1
从容不迫	1
其乐无穷	1
秀美	1
壮丽	1
逗趣	1
蓬勃	1
气节	1
谦逊	1
勤劳	1
热忱	1
日理万机	1
身体力行	1
好意	1
暖乎乎	1
尊师重教	1
仗义	1
赞成	1
突飞猛进	1
关切	1
无坚不摧	1
阔达	1
雅致	1
英俊	1
优良	1
感佩	1
朝气	1
忠心耿耿	1
贞烈	1
仁爱	1
耿直	1
光明正大	1
爽利	1
冰清玉洁	1
忠烈	1
思恋	1
诚恳	1
敦实	1
柔顺	1
一身是胆	1
猛士	1
博学	1
谦抑	1
豪气	1
丹忱	1
刚烈	1
公平合理	1
风雅	1
虎虎	1
沉稳	1
心细	1
洒落	1
老成	0
滑润	1
得当	1
始终不渝	1
坚持	0
舆死扶伤	1
热心	1
殷勤	1
吊死问疾	1
情深意重	1
知情达理	1
沁入肺腑	1
仔细	1
发达	1
浩荡	1
利索	1
体谅	0
轻便	1
上等	1
敦厚	1
醒目	1
珍贵	1
诚笃	1
气势	1
清凌凌	1
飞针走线	1
冉冉	1
志士	1
无名英雄	1
爱憎分明	1
涓滴归公	1
宝刀	1
助困	0
保卫	1
悲愤填膺	2
夸赞	1
称赏	1
礼赞	1
灵秀	1
壮伟	1
繁花似锦	1
见危授命	1
廉正	1
廉政	1
血性汉子	1
正面	1
圣贤	1
先知	1
童贞	1
言之有理	1
坚如磐石	1
国富民强	1
毫厘不爽	1
郁愤	2
震天动地	0
万古流芳	1
甲天下	1
吃得开	1
价廉质优|	1
货真价实	1
拔尖	1
全优	1
首屈一指	1
独秀一枝	1
别具匠心	1
原汁原味	1
得天独厚	1
繁丽	1
纳鞋底戳了手－真气人	0
朗朗上口	1
金城汤池	1
盎然	1
帮补	1
寂寞	0
触目兴叹	2
备至	1
愤世嫉俗	2
怨声载道	2
毛骨悚然	2
愤然	0
恼怒	0
气愤	0
震怒	0
动肝火	0
悻然	0
艰难险阻	0
负气	2
横眉怒目	0
奇耻大辱	2
草场着火－火气冲天	0
汉奸	2
怒气冲天	2
气呼呼	0
辛酸	0
哀戚	0
揪心	0
哀怜	0
哀哀	0
苦处	0
哭鼻子	0
饮泣	0
哭嚎	0
苦脸	0
盛筵难再	2
朽木死灰	2
怨离惜别	0
寒心	0
火烧旗杆－长叹	0
黄蜂叮屁股－有痛说不出口	0
百口难辨	0
吓人	2
不寒而栗	0
提心吊胆	0
心惊胆战	0
惧色	0
老鼠偷猫饭－心惊肉跳	0
局天蹐地	2
视为畏途	2
霸占	2
背信弃义	2
豺狼	2
丑态	2
钩心斗角	2
祸国殃民	2
歹徒	2
独裁	2
负隅顽抗	2
老巢	2
流言蜚语	2
狞笑	2
作呕	2
盘踞	2
敌对	2
敲骨吸髓	2
耻辱	2
骄慢	2
杀气腾腾	2
逃窜	2
歪门邪道	2
为非作歹	2
文痞	2
舞弊	2
野蛮	2
狰狞	2
罪孽深重	2
小瞧	2
卑俗	2
浮滑	2
可恨	2
摧残	2
厚脸皮	2
苍蝇药不死人－恶心	2
无耻之尤	2
食肉寝皮	2
"老鼠过街,人人喊打"	2
疾首蹙额	2
丧家之犬	2
视若草芥	2
杂种	2
外遇	2
挖苦	2
狗东西	2
地头蛇	2
佞人	2
母夜叉	2
诬蔑	2
哭闹	2
繁难	0
白区	2
藏奸	2
苦闷	0
憋闷	2
担心	0
烦心	0
迷茫	2
无精打采	0
愁容	0
惆怅	0
败兴	2
容忍	0
暴躁	2
焦渴	0
骑虎难下	0
疑虑	0
窝憋	0
乏力	0
不辞而别	2
郁郁不得志	2
忧心如捣	2
忧国如家	1
贫困	0
不知所云	2
惘然若失	2
不问不界	0
酷热	2
削足适履	2
费劲	0
败笔	2
羞涩	0
困窘	0
惨怛	0
后悔	0
汗颜无地	0
后悔无及	0
恐慌	0
心急	0
怯场	0
头脑发热	2
心急如焚	0
仓皇	0
卧不安席	2
脚板上长草－慌了脚	0
小媳妇见了恶婆婆－心里直扑腾	0
失魂落魄	0
急来抱佛脚	2
五内如焚	2
失望	0
缺憾	0
自馁	0
一场空	0
难于登天	0
不遂	2
醋心	2
红眼病	2
半信半疑	0
疑神疑鬼	2
犯嘀咕	0
八面圆通	2
笨拙	2
不择手段	2
陈腐	2
不怀好意	2
野心	0
一暴十寒	2
人丁兴旺	1
大有年	1
海晏河清	1
民殷国富	1
唐虞之治	1
地狱变相	2
人间地狱	2
拨乱反正	1
除邪去害	1
法不阿贵	1
匣里龙吟	0
一树百获	1
黜陟幽明	1
举错得当	1
千金买骏骨	1
思贤如渴	1
百里之才	2
扶危持倾	1
国家栋梁	1
满腹经纶	1
不私其利	1
洗手奉职	1
欺公误国	2
卖官鬻爵	2
中饱私囊	2
乘伪行诈	2
一己之私	2
高义薄云	1
义无反顾	1
扶危拯溺	1
抱柱之信	1
言必行，行必果	1
口血未干	2
菲食薄衣	1
谨行俭用	1
细水长流	1
结驷联骑	2
食日万钱	2
别出心裁	1
前无古人	1
大开方便之门	2
一帆风顺	1
朽索驭马	0
鱼游釜中	0
坚心守志	1
矢志不移	1
兵来将挡，水来土掩	0
对症下药	1
因事制宜	1
苦海茫茫	0
加油加醋	2
自吹自擂	2
虎狼之穴	0
洞中肯綮	1
参差不齐	2
判若两人	0
天上人间	0
众寡悬殊	2
事有必至，理有固然	1
相视而笑	1
万全之策	1
栈山航海	1
蹈其覆辙	2
举措失当	2
将伯之助	1
雪中送炭	1
鬼设神施	1
熟能生巧	1
三曹对案	0
真凭实据	0
责有攸归	0
逢凶化吉	1
万象更新	1
朝更暮改	2
否极泰来	1
志气凌云	1
雷霆万钧	1
直言尽意	1
避重就轻	2
杀鸡饮黍	1
美中不足	2
柔心弱骨	1
少年老成	1
甘之若素	1
唾面自干	2
深闭固拒	2
一狐之腋	1
遗老遗少	2
先入之见	2
不识时变	2
眼花缭乱	0
人穷志短	2
公诸同好	1
赏不遗贱	1
门当户对	1
光宗耀祖	1
珠泪偷弹	0
书香门第	1
甲第连云	1
累块积苏	2
穷阎漏屋	2
方外之士	1
耳根清静	0
池鱼之祸	2
浪迹浮踪	2
亘古未有	1
形锁骨立	2
不省人事	0
癣疥之疾	0
山颓木坏	0
兰摧玉折	0
顾影自怜	2
绳其祖武	0
驰名当世	1
留芳万古	1
青史留名	1
谈笑而道	1
辩才无碍	1
披沙拣金	1
胡言乱语	2
言不及义	2
大而化之	1
口惠而实不至	2
凿空之论	2
嘟嘟囔囔	2
妄言妄听	2
弟子孩儿	2
出言不逊	2
冥思苦索	0
告往知来	1
推己及人	1
铭记镂骨	1
了了可见	1
一望而知	1
如醉方醒	0
反听内视	1
自知之明	1
多端寡要	2
浮生若梦	2
寄人篱下	2
欺大压小	2
倚财仗势	2
饱食终日	2
衣来伸手，饭来张口	2
上之所好，下必甚焉	2
旱魃为虐	2
泼天大祸	2
凶年恶岁	2
丰衣足食	1
风清月皎	1
不名一钱	2
琼楼玉宇	1
饥寒交迫	2
附膻逐腥	2
樵苏不爨	2
趋炎附势	2
少吃无穿	2
赤舌烧城	2
向壁虚造	2
两头白面	2
朝齑暮盐	0
酒池肉林	2
始乱终弃	2
草薙禽狝	2
焚书坑儒	2
荼毒生灵	2
置之死地而后快	2
钢打铁铸	1
两全其美	1
听天任命	2
金城石室	1
听人穿鼻	2
兵戎相见	0
观望不前	2
依违两可	2
低眉折腰	2
俯仰由人	2
召之即来，挥之即去	2
知法犯法	2
一文如命	2
替罪羊	2
日月重光	1
装聋作哑	2
仗气使酒	2
推波助澜	2
风云变态	1
招权纳贿	2
咄嗟立办	1
屏气慑息	0
目迷五色	2
初写黄庭	1
颠倒是非	2
舍本逐末	2
格格不入	2
项背相望	2
故技重施	2
东窗事发	2
欲盖弥彰	2
转败为功	1
暮虢朝虞	2
大敌当前	0
自相残害	2
前挽后推	2
顺水人情	2
欺人太甚	2
肆言如狂	2
横冲直撞	2
含垢纳污	2
伴食宰相	2
夹枪带棒	2
之乎者也	2
狐朋狗党	2
任达不拘	0
惹祸招愆	2
招风揽火	2
沸反盈天	2
委过于人	2
独行其是	2
殚思极虑	1
草草了事	2
私相授受	2
狂奴故态	2
春山如笑	1
千红万紫	1
秋高气爽	1
形胜之地	1
琪华瑶草	1
良辰美景	1
光彩射人	1
披毛索厣	2
仗马寒蝉	2
狗急跳墙	2
盘马弯弓	2
算无遗策	1
武艺超群	1
左宜右有	1
才识过人	1
加人一筹	1
龙跃凤鸣	1
被褐怀玉	1
日试万言	1
无出其右	1
锥处囊中	1
大含细入	1
管窥筐举	2
食而不化	2
井中视星	2
报本返始	1
春风雨露	1
大德不酬	1
百世师	1
明见万里	1
有脚阳春	1
眼高手低	2
土龙刍狗	2
银样镴枪头	2
脚高步低	2
两相情愿	1
耳热酒酣	1
同窗好友	1
不虞之誉	0
开山祖师	1
再生之德	1
太公钓鱼，愿者上钩	1
见可而进	1
指挥若定	1
情有可原	1
故剑情深	1
风靡一时	1
蒸蒸日上	1
功盖天地	1
跛鳖千里	1
鸡鸣而起	1
闻鸡起舞	1
坐以待旦	1
明察暗访	1
妙手回春	1
啸聚山林	1
对答如流	1
后起之秀	1
善贾而沽	1
耸壑昂霄	1
下笔千言	1
磨厉以须	1
不拘形迹	1
翩翩少年	1
一表人才	1
面如满月	1
须髯如戟	1
林下风气	1
须眉皓然	1
知恩必报	1
偶俱无猜	1
危言谠论	1
直节劲气	1
白手起家	1
开天辟地	1
待势乘时	1
大气磅礴	1
犯而不较	1
蒲鞭示辱	1
以直报怨	1
怯防勇战	1
先声后实	0
百战不殆	1
坚甲利兵	1
师值为壮	1
雄赳赳，气昂昂	1
能征惯战	1
囊萤映雪	1
悬梁刺股	1
凿壁偷光	1
孟母三迁	1
改过自新	1
洗心自新	1
奇装异服	2
阿尊事贵	2
耿耿于怀	2
肥头大耳	2
蓬头历齿	2
龙蟠凤逸	2
功亏一篑	2
兵败将亡	2
片甲不存	2
一之谓甚	2
衣架饭囊	2
不务正业	2
朽木粪土	2
何所不为	2
妖魔鬼怪	2
顺手牵羊	2
毕其功于一役	2
断鹤续凫	2
泼油救火	2
缘木求鱼	2
蔽美扬恶	2
浑然无知	2
目挑心招	2
承颜候色	2
一败涂地	2
末学肤受	2
一叶蔽目	2
掩目捕雀	2
好肉剜疮	2
以指浇沸	2
自讨苦吃	2
藏龙卧虎	1
兰因絮果	2
打情骂俏	2
牛头不对马嘴	2
刀头舔蜜	2
学步邯郸	2
饾饤堆砌	2
三生有幸	0
同心合意	1
金兰契友	0
声气相投	0
至亲好友	0
平地风波	0
措手不及	0
交疏吐诚	1
褒衣博带	0
刀枪入库，马放南山	1
默默无闻	0
眉眼高低	0
天高地厚	1
心折首肯	0
元方季方	1
才子佳人	1
耳闻是虚，眼见是实	0
亲临其境	0
知鱼之乐	0
丁一卯二	1
遏恶扬善	1
战胜攻取	0
皓首穷经	1
闳中肆外	1
附庸风雅	2
行浊言清	2
蹈刃不旋	1
杀身成仁	1
有进无退	1
披心沥血	1
分甘共苦	1
冬温夏清	1
奉为楷模	1
敬上爱下	1
众星捧月	1
卑之无甚高论	0
德薄才疏	2
见笑大方	2
贻笑大方	2
果于自信	2
矜才使气	2
心高气傲	2
杀妻求将	2
东食西宿	2
裒敛无厌	2
贪猥无厌	2
谩上不谩下	2
太强了	1
顶一下	1
sigh	2
MD	2
弓虽	1
哇哈哈	1
o(∩_∩)o	1
嘻嘻	0
真TM	2
dingding	1
你丫	2
8错	1
ZE	2
JJWW	2
苟且偷安	2
厚颜无耻	2
昏庸	2
串通	2
胆小如鼠	2
恶习	2
坑害	2
窥伺	2
不满	2
滥用	2
连篇累牍	2
马虎	2
肆意	2
明争暗斗	2
冷漠	2
怪癖	2
暴戾	2
圆滑	2
破罐破摔	2
懈怠	2
激进	2
自傲	2
穷兵黩武	2
杀害	2
世故	2
随声附和	2
螳臂当车	2
挑三拣四	2
玩忽职守	2
伪造	2
无风生浪	2
无知	2
归罪	2
要挟	2
油滑	2
瞻前顾后	2
漠视	2
恶恶实实	2
阴鸷	2
猥陋	2
衣冠禽兽	2
狡兔三窟	2
愚懦	2
矜夸	2
不自量	2
目空一切	2
傲气	2
古板	2
心窄	2
乖刺	2
言不由衷	2
顺风转舵	2
以邻为壑	2
平板	2
粗野	2
强横	2
逞能	2
谨小慎微	2
愣头愣脑	2
愚钝	2
低劣	2
轻薄	2
佻薄	2
卑贱	2
娇气	2
无味	2
粗枝大叶	2
见异思迁	2
讳疾忌医	2
出格	2
奴颜卑膝	2
瞒哄	2
一手遮天	2
故弄玄虚	2
瞎胡闹	2
威吓	2
夸大	2
好逸恶劳	2
六亲不认	2
胆小鬼	2
投机主义	2
粗心大意	2
反常	2
开了锁的猴子－得意忘形	2
啰唆	2
强硬	0
视若路人	2
木心石腹	2
胡里胡涂	2
不才	2
独断独行	2
不由分说	2
蹈常袭故	2
一偏	2
兔子尾巴长不了	2
嗤笑	2
讥讽	2
损公肥私	2
名缰利锁	2
物欲横流	2
猥贱	2
跳梁小丑	2
铁公鸡	2
淫亵	2
争吵	2
负心	2
瞒骗	2
玩花样	2
谄谀	2
曲意奉承	2
背谬	2
不堪一击	2
沧海一粟	0
大谬不然	2
不合理	2
生拉硬拽	2
没脸	2
危言耸听	2
虚有其表	2
不怎么样	2
言行不一	2
不良	2
隐晦	0
爱小	2
摆份儿	2
拜金	2
暴民	2
逼婚	2
变态	2
不扬	2
好离好散	0
秋水伊人	0
登高望远	1
音容笑貌	0
忍让	0
畏葸	0
无耻	2
可疑	0
倔强	0
喜讯	1
跌眼镜	0
纳罕	0
希奇	0
放心	1
处之泰然	1
寂静	0
精英	1
璧还	1
彪悍	1
冰释	1
并肩	0
博洽	1
才分	1
才望	1
参拜	1
长处	1
草野	2
差误	2
谗害	2
缠扰	2
吵扰	2
嗔怒	0
畅适	1
超拔	1
超俗	1
沉勇	1
称扬	1
吃货	2
迟误	2
叱呵	2
丑类	2
敌国	2
乘龙	1
骋怀	1
冲霄	1
出尖	1
创见	1
舛错	2
创造力	1
春色	0
纯挚	1
闯祸	2
蠢蠢	2
次品	2
撺掇	2
篡权	2
错处	2
噩耗	2
蹈袭	2
盗印	2
龟鹤	1
国故	1
国术	1
酣梦	1
酣醉	1
敌探	2
雕饰	0
顶嘴	2
毒打	2
毒刑	2
赌博	0
短浅	2
讹传	2
恶臭	2
恶俗	2
二心	2
发傻	2
繁乱	2
犯规	2
饭囊	2
仿冒	2
非笑	2
匪患	2
分肥	0
疯话	2
浮华	2
负屈	2
干涉	2
公敌	2
构陷	2
蛊惑	2
惯偷	2
淳风	1
慈慧	1
辞宗	1
葱茂	1
粹聚	1
存抚	0
答谢	1
大道	1
大儒	1
黛绿	0
淡远	1
鬼物	2
得劲	0
得宜	1
底蕴	1
叠翠	1
鼎新	1
汗颜	2
横加	2
后患	2
胡诌	2
坏水	2
谎报	2
毁损	2
秽语	2
混事	2
惑乱	2
挤轧	2
假球	2
奸细	2
搅局	2
进谗	2
酒鬼	2
阔少	0
谰言	2
科盲	2
空话	2
懂门儿	1
酷吏	2
洞晓	1
诳语	2
愦乱	2
督率	1
端凝	1
墩请	1
夺金	0
恩德	1
发财	0
发祥地	1
繁密	0
芳菲	1
芳姿	1
飞驰	0
肥腴	1
奋力	1
丰沛	0
丰腴	1
风节	1
扶疏	1
改观	1
刚韧	1
高矗	1
高旷	1
捞本	0
勒派	2
冷眼	2
连累	2
凌侮	2
流离	0
漏卮	2
乱离	2
沦落	2
落魄	2
埋没	2
猫腻	2
没羞	2
闷棍	2
靡靡	2
明抢	2
魔爪	2
告准	1
根治	1
工巧	1
攻取	1
功效	1
公论	1
拱立	1
广博	1
闹鬼	2
归心	1
逆产	2
捏弄	2
弄权	2
虐政	2
攀附	2
叛逃	2
捍卫	1
豪语	1
喷粪	2
皮脸	2
偏安	2
剽窃	2
叵测	2
欺辱	2
启衅	2
前科	2
歉收	2
强占	2
浩博	1
合身	1
喝彩	1
贺年	1
红包	0
红润	1
红炉	0
宏丽	1
厚望	1
欢度	1
欢慰	1
挥戈	1
回春	1
惠然	1
活分	1
获得	1
跻身	1
机锋	1
大吉大利	1
集大成	1
侵权	2
求乞	0
趋奉	2
权势	2
肉欲	2
丧命	0
塞责	2
伤害	2
折本	2
生番	2
失当	2
失事	2
施暴	2
受贿	2
受辱	2
衰替	2
私仇	0
死地	2
损人	2
贪官	2
逃避	2
套汇	2
跳梁	2
偷安	2
投敌	2
土豪	2
退缩	2
歪风	2
顽钝	2
妄取	2
威迫	2
违规	2
窝赃	2
芜劣	2
西崽	2
瑕玷	2
纤弱	2
险症	2
萧然	2
效尤	2
邪门	2
泄露	2
凶毒	2
凶气	2
凶兆	2
虚华	2
虚饰	2
蓄意	2
炫弄	2
延误	2
夭逝	0
妖言	2
遗弃	2
役使	2
阴霾	2
淫棍	2
淫雨	2
应声虫	2
幽暗	2
诱使	2
迂论	2
愚氓	2
郁气	2
冤苦	2
切近	1
亲和	1
怨詈	2
钦服	1
勤朴	1
清贵	1
灾害	2
急转直下	1
心潮澎湃	1
展望	0
骚动	2
大意	2
菲菲	1
古雅	1
忽忽不乐	0
开门见山	1
成事	0
正经	1
充盈	1
稀松	2
气派	1
尖酸刻薄	2
悠扬	1
无所作为	2
依然故我	0
急切	0
适口	1
闷气	0
贫气	2
把戏	2
骨肉相连	0
指日可待	0
一针见血	1
讲理	1
熙熙攘攘	0
祝福	0
大好	1
错乱	2
难看	2
说一不二	1
言而有信	1
屹立	1
肮脏	2
和和气气	1
差错	0
破绽	0
阻碍	0
失败	0
美妙	1
夸耀	2
朴素	1
万念俱灰	0
破败	2
红眼	2
反省	0
乱糟糟	2
龌龊	2
意气	1
尴尬	0
不甘示弱	0
灿烂	1
严密	1
公道	1
猥琐	2
痴情	0
爱好	0
拖泥带水	2
诡谲	2
癫狂	0
上下其手	2
刺眼	2
浅尝辄止	2
不值一提	2
老实	1
荒唐	2
不错	1
大言不惭	2
寒碜	2
稳便	1
搅乱	0
开豁	0
多余	2
亮堂	1
兴奋	0
说长道短	2
丰富	1
根本	0
明媚	1
了不起	1
娓娓动听	1
瞻仰	0
私通	2
侵占	2
安静	0
狭小	2
失意	0
活泼	1
柔嫩	1
青天	1
不是味儿	0
失礼	2
恬淡	1
优哉游哉	1
中肯	1
皇皇	1
缺乏	2
鬼魔	2
相信	1
馋涎欲滴	2
翻然悔悟	1
标榜	2
尊重	1
险恶	2
治世	1
生气勃勃	1
低下	2
勉强	0
荒疏	2
若隐若现	0
气焰	2
一目十行	1
好手	1
不共戴天	0
先锋	1
声泪俱下	0
稳健	1
存心	2
颓败	2
零落	2
生疏	2
哀号	0
微不足道	2
亲信	0
飞将军	1
平安	0
冲撞	2
木雕泥塑	2
郁郁	2
妖艳	2
上进	1
粗劣	2
软绵绵	0
擢用	1
光天化日	1
精练	1
真情	1
深刻	1
奴才	2
赏心悦目	1
文不加点	1
和缓	0
助人为乐	1
扶掖	1
祸根	2
美味	1
开心	1
万死不辞	0
侵害	2
优质	1
英雄	1
败坏	2
正规	1
粗豪	1
松松垮垮	2
虚应故事	2
神魂颠倒	2
巩固	2
超人	1
展望	0
娇滴滴	2
好笑	2
夫子	2
旁若无人	2
对劲	0
手下留情	0
癫狂	2
鸡飞蛋打	2
骇然	0
带劲	0
完蛋	2
真正	1
间不容发	0
真心	1
权威	1
上进	1
繁杂	2
开心	2
靠不住	2
情分	1
遒劲	1
诛求	2
专擅	2
坐监	2
肩荷	1
鉴定	1
交情	1
重任	0
纵情	1
一叶知秋	1
玄奥	2
过气	2
呵叱	2
捏一把汗	0
破口大骂	0
奠祭	0
窘涩	0
貌似真实的	2
溺爱	2
鼓舞	1
善心	1
高姿态	2
不可逾越	0
单一	0
仇人	0
恭祝	1
固守	2
人祸	2
服服帖帖	0
贫贱	2
万紫千红	1
平铺直叙	2
淡薄	0
冤家	0
借重	1
病歪歪	0
波谲云诡	0
瘦弱	2
不冷不热	0
好不容易	0
荒落	0
没意思	0
蛇蝎心肠	0
声名大振	0
尽兴	0
开颜	0
博爱	0
热衷	0
踏实	0
闲雅	0
同生共死	0
解囊相助	0
扶贫济困	0
气馁	0
